Want an amazing SciFi show that completely passes the bechdel test? Farscape. Well written characters and +3 to awesome. ,N
Some men do not deserve to be called gentlemen ,N
Happy birthday to the queen Frida Kahlo! oneofmyidols mindstimulation latinapower ,N
Female sharks grow to be larger than male Sharks. Sharkweek2015 ,N
@mustangALLIE_ and i was agreeing with ur tweet ,N
@NuuYawkerr I have a solution kill all of us... ,N
RT : bethersfanpg: BethanyMota if i put alot random hashtags maybe you'll notice me?  MOTAVATORMONDAY food confidence Motafam... ,N
last RT demonstrates relevance of preceding RTs ,N
Just watched the frickin' awesome interview with @caitlinmoran and @lenadunham ! What a breath of fresh air those two ladies are!! ,N
Why would they have girl dragons in dragonvale? ,N
"@WhiteShamer because Resident Evil, Tomb Raider, Portal, Mass Effect, Parasite Eve and countless other games never happened! ",N
@KatTimpf @ShannonBream great review. Thanks for your report! Excellent rebuttal of ,N
YO @kaitlynbristowe YOU GET YOURS GIRL.     TheBachelorette ,N
@Deb_Hitchens @JudgeBambi . There's no capacity for discourse when you assume ppl are your enemy. Hate. Misery. Paranoia. A waste. ,N
I fell asleep only to have my brother wake me up after hearing noises. I had to be the one to go upstairs and see what it was ,N
@crystxlcxstlesz did you break through the glass ceiling? ,N
I'm the bad cop to @Patjouk's good cop. (... Though am I/is she really? Muahaha. ;P) tech techdiversity ,N
Also Tatum's feigns giving oral in a hands free headstand. SEE THIS FILM. ,N
"Seriously considering writing an article on the ban of school skirts at a secondary school, any thoughts would be appreciated :) ",N
I'll eat mac and cheese out of your front hole but only if you ask first ,N
@Nero the 'author' is @onepoundstories she's making money out of it ,N
@ZachCityy @aribentz Dad I'm running away n never coming back!!! fuck12 ,N
Putting the air conditioners in while wearing a sundress because ,N
women learn to be women and men learn to be men and I don't blame it all on you but I don't want to be your friend  lyrics ,N
@saltwaterpop I like your attitude a lot tho ,N
Unlike cancer treatments marriage risks outweigh the benefits. If oncologists married people everybody would be single ,N
@NAFEDUDE @TakedownMRAs It's never a problem until it happens to you =) ,N
"@NAFEDUDE I'm just sharing a laugh with my buddies, ur points are laughable, laughing is good 4 health =)  ",N
"@OliveStuff @douchefuck @redheadtart @nascar_jesus mice are intelligent animals, and should not be mocked ",N
"ARTe Pop art helps improve Cuba-US relations. Willie Cole, How Do You Spell America? 2, 1993 popart AndyWarhol AnaMendieta ",N
HAPPY BIRTHDAY TO ONE OF MY FAV PEOPLE WHO HAS GREAT VIEWS & IS A FELLOW SUPREME COURT CUTIE I LOVE YOU @maddylinder ,N
"There really are days when I'm ashamed to admit I share gene's with some people, today is one of those days. ",N
GamerGate tag is about games Other things? They have their own tags: SJWlogic SaveTheCover ShirtStorm ,N
The shaming we do around celebrity choices in photoshoots is highly related to the principles behind ,N
@Paula0422 btw if you like Chris Brown I WILL SET YOU TO FLAMES WITH MY SPARK FARTS! rhianna ,F
"Unless u have a health or physiological problem, u should not be proud of ur overweight body! health ",N
@datsradd why not the right? Why always the left titty ? ,N
"Tomorrow, we gone see think pieces on @KeyAndPeele 's pirate skit. wesayyoho butwedontsayho cuzhoisdisrespectfulyo kinda ",N
Marriage is driving under the influence of hormonal alcohol & divorce is the morally painful sobriety the day after. ,N
I still take pride in calling myself Goswami. And I would take strong exception to anyone who told me I wasn't entitled to use it! ,N
im okay with white girls with dreads because ,N
We celebrate the company of 50 great people & organisations. From fiji-lovers perfumers ecowarrior vegan humanrights healers ,N
