1118505866804610000,"So why is it that lying Christine Blasey Ford, the woman who single-handedly killed the #MeToo movement, being honored by @TIME? Is it because they like to promote liars who push their narratives?",M,N
1118506539835360000,"W/A at #FAMConf: Has the climate changed for women in mfg?  The #MeToo movement may have  made mgmt more mindful, but it does not foster attitudes of entitlement. It does foster respect for talented women. #WomenInManufacturing #WomenInSTEM @500womensci",F,N
1118514453761290000,The #MeToo movement is changing the way women run companies. https://t.co/m6MlBLpXv3,F,N
1118520247831680000,"Let’s fight against modern day slavery of women who are beaten and raped since 9. All the #MeToo movement. Where are you with this one?  What ever happened to your Hollywood Weinstein?  By follow up on this?  $$$ makes it all go away. So if #metoo is good, they will say much more",F,N
1118527801869650000,How do you feel about mandatory #sexualharassment training being introduced into UK businesses? It's a step-forward for the #metoo movement surely - https://t.co/4jROC0c1Qb,F,N
1118528701422080000,No surprise: weaponizing sexual assault allegations for political gain has damaged the much needed #MeToo movement and hurt victims of sexual assault in the long run.  https://t.co/H9nUuElYmr,F,F
1118530466162910000,"Today @EuroLabour MEPs pledged to #MeToo in @Europarl_EN -well done to hard working staff and members of @MeTooEP who have carried this movement. 
We pledge to many things including ending the culture of silence and to combat sexism and sexual harassment.
https://t.co/IVftu1DfP2 https://t.co/zrpZplrFR1",F,F
1118534420049410000,#CUDM19 #MeToo is a movement to speak out against sexual assault/harassment. This movement involves both men and women.,M,N
1118535337805010000,"“The #MeToo movement has given us new ways to think about female icons like Helen [of Troy] or Marilyn Monroe, new ways to revolve the traditional male version of such events 360 degrees and find different, deeper sorrows there.” — Anne Carson https://t.co/WlfbCHTX3h",M,F
1118535955542150000,Loved learning about how the #metoo movement has been growing since its founding and how it has combated against sexual abuse. #CUDM19,M,F
1118536411571990000,I’m so tired of this mf’n #MeToo movement. These bitches are doing the most. Ugh...,F,A
1118539661893300000,"The #MeToo movement may have put Gender #Equality in the spotlight, but the facts show that we still have a long way to go. With #Goal5 of @GlobalGoalsUN, we can eradicate prejudice and work for equal rights and respect for all. #GlobalGoals https://t.co/W8Jm5MhXSl",M,F
1118541699532220000,Somehow the #metoo movement gives  women any reason to bash men and be fine with it,M,A
1118542760485820000,"Any outlet continuing the fuel the Ford story, thus politicizing the justice movement of #MeToo which must remain nonpartisan in order to be effective, is actively harming victims' abilities to be believed. https://t.co/hz0liU7XMr https://t.co/ylIvQEobJd",F,F
1118544828357400000,"The #MeToo movement has created an interest in female directors in China
""Here I am the intelligent type
Don't tell me that it's wrong or I will put you right""
from Don't Call Me Babe https://t.co/ThB4apfQ88
 https://t.co/RNASaR67Vb",F,F
1118553422322700000,Me2 The #MeToo movement matters. Show your support by downloading the MNFST app and join the movement today 🚀 https://t.co/9Vfhd6iNMh https://t.co/YmABlFWdT9,M,F
1118554805356640000,A liar is the face of #MeToo. No wonder the movement has been losing steam ever since. https://t.co/OghVIc85pr,M,N
1118555392626260000,"Liberal Democrats attacked #Kavanaugh over a bogus 35 yo HS baloney, fire up #MeToo movement.

Yet not a PEEP about #MichaelAvenatti &amp; so many other libs in Hollywood, Democrat party, etc.  #LiberalHypocrisy https://t.co/tN04ubtR2H",F,A
1118563607405630000,"Hey Y'all! Here's an opportunity to aid the #MeToo movement while aiding a Police Officer AND saving her dog! Please sign and pass it on. It will mean so much to my friend Melissa, her cousin, and Xena the K9! XO https://t.co/yG94PFFECC",F,F
1118564954116950000,"This is like a stab in the heart of real victims. The #MeToo movement will be destroyed if they keep on pushing this BS, true victims are at risk. https://t.co/Xs9DeDXtXq",F,F
