My Mather is a slut bitch,A
@TomiLahren You're a fucking skank!,A
Its a bitch who better get her some business forreal! How the fuck u gone feel entitled to somebody! Bitch u got blackballed & u gone stay blackballed! I ain't saving no hoe! U is not apart of my Spurs dreams! The woman u see on my page had on the San Antonio Spurs Warm up Jacket,A
Im so sick of this hoe speaking on me bitch you dont know SHIT STFU,A
"Liberals are self-identifying as spectacularly stupid, egocentric liars who will say & do anything in pursuit of their self-elevating agendaWant proof?Just watch @CoryBooker & @SenKamalaHarris compete for Most Hysterical Woman at the Kavanaugh hearings#WalkAwayFromDemocrats",A
@snapchatmypussy If you don't like the song bitch keep it moving hoe. You can't sing you can't do shit but suck dick bitch stfu you dumb white trash ass bitch,A
"@Denymesanity @HamLibertarian Shut up, I heard you were a skank and totally let David M go all the way!",A
"@AnnCoulter are you scared theyll take the crown from you? Your reign as Most Hysterical Woman has been long and most likely, safe. @StephMillerShow @Rosie @VABVOX @RVAwonk",A
@JeneneHoyer U a rabid fucking cunt.. oh yea but u from Indiana tho.. common for u women folk.. ask mother pence,A
"@GPerplexx Stfu pussy, no more Apple Music for you",A
Dis bitch had the nerve to tell me im not from a hood. Bitch stfu ill spit on u hoe u dont know me...so mind ya business and worry bout yo child instead of me...dickriding ass girl,A
Seriously fuck you if you argue with anyone who is simply expressing how you made them feel. Just stfu and listen.,A
@AnnCoulter @DonaldJTrumpJr You need to crawl back under your are the hysterical woman.,A
So @CoryBooker is a faker and a tool. And he's competing with @SenKamalaHarris to see who can be the most hysterical woman in the Senate. What a surprise.#Kavanaugh #Trump2020,A
@WynslowIsTyping Shut the fuck up you fucking monkey jew bitch cunt nigger dick licking,A
@AnnCoulter Says a hysterical woman/hustler/con artist/grifter,A
Oh you skank @_danielaaflores,A
"Oh good, its that time of year when women bitch about men watching football why is this a thing? Why dont you shut the fuck up and enjoy the game? k bye",A
@chargenewtwit @NotZelta you gonna shut the fuck up pussy?,A
@Maisie1992 Get in here you pussy,A
@DonaldJTrumpJr That skank looks good on your arm. You been dating your mom long? She needs to start thinking about some Botox or maybe a full facelift. Lying does that to you!,A
@Lauren_Southern You're just a skank and everyone knows it otherwise you wouldn't be making excuses for not settling down whilst hanging out with multiple different guys.,A
I will always love you & Ken though @LisaVanderpump I really admire you & feel like a mother tiger with you! I could of jumped through the TV when that skank slapped your face! That upset me! A lot!!!,A
Its really hard to tell who the most hysterical woman is at these Senate hearing this week - @CoryBooker or @SenKamalaHarris ?,A
you ready baby ? ~ Im going to fuck you and your sister like till both of you pussy is filled and leaking with my cum,A
"@KatiePrice How are they trying to destroy you? You missed your 4 kids first day at school to skank about topless with yet another man. Disgraceful. The kids are better off with their dads where theyre happy, safe & have a stable, loving home...",A
Sometimes it can feel like your old mommy is always ready to be intimate with you.Even at 68This lustful Mom's pussy doesn't stop soaking,A
"@laurenarankin Ben Sasse is 100% correct. Since 1973, all Ive EVER heard every two years for elections are hysterical women (all a Leftist act) about Back-Alley abortions. This shit is getting old! I didnt hear one other protest issue being yelled about i",A
"Hey @AnnCoulter you fucking cunt ass bitch. Do the world a favor and fucking kill yourself, at least you'll be great to something and not fuck that up.....at least we hope you won't.",A
"Left the WH dead broke, but were able to buy 2 million dollar homes and buy their Skank daughter a $10 million dollar apartment. Boy, would I love to see those loan applications and bank statements. Can you smell bank fraud and tax shenanigans? #tcot #maga",A
How is it that no law enforcement entity finds it odd that you can leave the WH dead broke and then buy your Skank daughter a $10 million apartment and pay for a $3 million wedding. Have the Clintons ever gone back to Haiti??? #maga #tcot,A
Im perfectly happy with my boyfriend bitch but dont worry karma is coming for your skank ass,A
"@girlsreallyrule Your the fucking bitch,you whore.",A
@AnnCoulter From the multi-year champion of most hysterical woman of the universe award (and I'm being generous calling you a woman).,A
@PrincessBravato this stupid skank can barely speak English.,A
@MelaninMels @themakeda @minahbeans No. That's not the reason. Feminazi back in ur hole bitch.,A
Once a stripper always a skank an a ( Y ) a hole!!,A
9/28 you pussy BITCHHHHHHHH EAT IT UP LIL HOE I KNOW YOU BANG WIT US !!!! Its ROLLLLLLINNNNN ON MINE ION DO DA GROOVIN YADIG #SLUMLOVE,A
dan humphrey is an annoying skank bitch,A
"Dont you realize youre only making my cock harder with your constant whining, you stupid little bitch? God, your pussy feels so tight when I choke you. I think I might just fill your pussy up right now so you never forget about this day.",A
"@sierraplz @afrolivia I bet her parents dont claim her either. This skank blames her miserable existence on immigrants and POC when as an attractive white young woman, she has the privilege to do anything. More trump trash.",A
If youre dating a baby daddy before you call the baby mama bitter go talk to her yourself OR just the stfu and mind your business bc you know damn well that nigga gone lie just to get some pussy and play victim. Idc.,A
@AnnCoulter And here they are! The most hysterical women at the #KavanaghHearing!,A
Every fine fucking bitch i see is my ex hoe,A
@sarataseer Fuck U SLUT. Your pork dead father is burning in hell. Fuck Face Jewellery seller bitch.,A
You're such a bitch! Stop being such a FRIGGING SKANK and give him back!,A
@NBCNews @darla22686198 Some pussy replied to my tweet but muted me FIRST!! YOU PUSSY!! HAHAHA,A
"I fucking know who he cheated with even if he didn't say it. This fucking bitch, I've always fucking hated her two faced whore ass",A
"I dont understand who work so hard at sex work. They are so nuts about having sex even in the situation at work. Huh? Youre just another bitch working at the same store. Furthermore, you cant do anything what you are needed and have to. Die bitch die.",A
@LindseyGrahamSC @BarackObama @realDonaldTrump Way to have some balls and talk shit like this after McCain no longer around. You know he would have told you to stfu. Pussy!,A
Shit ima choke yo ass back and say mine even tho Im yo side nigga,A
"@AnnCoulter @DonaldJTrumpJr Yes yes Ann, lets continue to perpetuate the hysterical woman stereotype. Such a shame. You dont deserve your position of power. A disgrace to fellow women.",A
@kathygriffin Which one of the two wins the prize for most hysterical woman?,A
@zachcampbel @NICKIMINAJ Bitch stfu you was just talking shit about her stop tryna get clout fat neck hoe,A
@Ashleyjoyner1 fuck you pussy suckin bitch.,A
I wouldn't have done anything if you didn't express any interest THE BITCH WAS 12 YOU MOTHER FUCKING CUNT. HE REALLY IS TRYING TO JUSTIFY HIMSELD..THIS IS EXACTLY WHY HE SHOULDN'T HAVE BEEN RELEASED,A
"@CNNPolitics @FLOTUS , you don't have to be a skank anymore. He, the skunk, done you wrong. Someone standing up and exposing your philandering immoral husband is a hero @nytimes @NBCNews",A
u just like me to feel weird thanks holly so fuck u then bitch go fuck yourself childish little girl grow up I hate u I'm glad I don't c u now bitch face I'm not talk on u 2day now fucking cunt,A
"@MissSarah_Jay This is not a concern which is based on any statistical evidence or fact. If we want to discourage men from raping women, maybe actually seriously prosecute them. Because even if you could stop men from pretending to be women to rape women ",A
Stfu you aint make no noise yet pussy !!,A
@ben_sassin You ugly lil bitch shut the fuck up if you dont understand the stock market hoe,A
im single & its staying that way for a long time because I hate all you pussy niggas!,A
"@SenKamalaHarris @CoryBooker Competing for Most Hysterical Woman at the Kavanaugh hearings"" Trying to create outrage and Hate",A
One of the biggest reason I never wanted to come out to my friends was bc I was afraid theyll think I have crush on them when Im just being a decent human being so I call them stupid bitch and a fucking hoe everytime I see them,A
"@thehill Hysterical woman is the new Nasty woman, we will make a hat for that.",A
@MarshaBlackburn PS - take off that picture-any picture of you makes me want to puke! Any women that would side with Trump is not for any woman or their rights that they should have. You are just another lying Skank GOP white piece of trash! Your commerci,A
"@piperalex_ Unless cow tipping is classed as physical assault you should shut your fucking whore mouth, i hope you never show your face outside of whatever hole you went to hide in because frankly i would love to drop kick you off a fucking balcony xoxoxo",A
@AnnCoulter @RazorPack65 I have them both in a dead heat for most hysterical woman ever,A
